t2 p
16 0.114346126734
18.709673419 0.2104040938
21.419355891 0.287564673462
24.1290309612 0.052072627447
26.8387096109 0.396670870666
29.5483891206 0.00131870296201
32.2580606259 0.380244031374
34.9677437026 0.0901667874154
37.6774133052 0.237357299446
40.3870926471 0.255997046662
43.096769725 0.07467990292
45.8064466581 0.388854831503
48.5161284839 4.18901156577e-05
51.2258124428 0.390950526848
53.9354816701 0.0671088054161
56.6451615848 0.26595887792
59.3548363157 0.230226483985
62.0645226348 0.0962637841432
64.7741992906 0.373865983372
67.4838755304 0.00250228504439
70.1935482293 0.401253223003
72.9032328789 0.0488343704395
75.6129028426 0.289991892204
78.3225885 0.202828549939
81.0322592113 0.120194844925
83.7419357278 0.358736285039
86.4516138601 0.00817160105621
89.1612972607 0.405904427205
91.8709597844 0.0328932708388
94.5806431666 0.313622884179
97.2903287794 0.177297720757
100 0.144185731357
