run split P E d xg neglogf
1 0 0.5 0.7636962891 0.152666451 0.03996187518 1.439357642
1 0 0.5 0.7311523438 0.2045115693 0.07823840888 2.926206211
1 0 0.5 0.6933105469 0.2498409216 0.129858844 5.146455017
1 0 0.5 0.6539550781 0.2876901261 0.1935325773 7.98656494
1 0 0.7 1.070214844 0.2150593157 0.04038076836 1.597509342
1 0 0.7 1.024047852 0.2867596368 0.07841434911 3.079983826
1 0 0.7 0.9703125 0.3500220721 0.1301270579 5.236281976
1 0 0.7 0.9143066406 0.4030453912 0.1943229839 8.334871635
1 0 0.9 1.379003906 0.2758184421 0.04000512295 1.741142403
1 0 0.9 1.318457031 0.3693679416 0.07848495926 3.67774171
1 0 0.9 1.248828125 0.4497740602 0.1297129892 5.683979847
1 0 0.9 1.176171875 0.5167677725 0.1930408686 8.517193191
1 1 0.6 0.9173339844 0.1829055207 0.03975563204 1.531366377
1 1 0.6 0.8779785156 0.2450315578 0.07788902451 3.067872951
1 1 0.6 0.8325683594 0.2990829584 0.1290456981 5.203007187
1 1 0.6 0.7841308594 0.3453943846 0.1940231064 8.111728083
1 1 0.8 1.224609375 0.2448743577 0.03998448071 1.701114701
1 1 0.8 1.171630859 0.3269275262 0.07786125016 3.545991967
1 1 0.8 1.109570313 0.3996450092 0.1297296155 6.194805471
2 0 0.55 0.8318115234 0.1833616579 0.04859227013 1.787130201
2 0 0.55 0.7947265625 0.2376912688 0.08945219461 3.438899249
2 0 0.55 0.75234375 0.285428383 0.1439334314 5.672283808
2 0 0.75 1.13605957 0.2498071913 0.04835124527 1.992456832
2 0 0.75 1.083837891 0.3248056227 0.08980870166 3.870881062
2 0 0.75 1.024804688 0.3901206144 0.1449157513 6.331141915
2 0 0.95 1.442578125 0.3161583426 0.04803199304 2.212196093
2 0 0.95 1.374462891 0.4130130962 0.09029456463 4.589296837
2 0 0.95 1.298779297 0.4940757946 0.1447159637 6.887952652
2 0 0.95 1.221582031 0.5610804408 0.2109623658 9.028018815
2 1 0.65 0.9839355469 0.2163835321 0.04836320902 1.924285653
2 1 0.65 0.9385253906 0.2820451249 0.0903119339 3.638947085
2 1 0.65 0.8885742188 0.3377222013 0.144454743 6.794426594
2 1 0.65 0.837109375 0.3845014564 0.2109752775 9.210340372
2 1 0.85 1.288183594 0.2839120047 0.04857490782 2.13081905
2 1 0.85 1.229150391 0.3683501227 0.08980728983 4.066340366
2 1 0.85 1.162548828 0.4413930691 0.1441546359 7.182192125
