xg pred
0.03 1.170995023
0.03538461538 1.403482189
0.04076923077 1.635969354
0.04615384615 1.86845652
0.05153846154 2.100943685
0.05692307692 2.333430851
0.06230769231 2.565918016
0.06769230769 2.798405182
0.07307692308 3.030892348
0.07846153846 3.263379513
0.08384615385 3.495866679
0.08923076923 3.728353844
0.09461538462 3.96084101
0.1 4.193328175
0.1053846154 4.425815341
0.1107692308 4.658302506
0.1161538462 4.890789672
0.1215384615 5.123276837
0.1269230769 5.355764003
0.1323076923 5.588251168
0.1376923077 5.820738334
0.1430769231 6.053225499
0.1484615385 6.285712665
0.1538461538 6.51819983
0.1592307692 6.750686996
0.1646153846 6.983174161
0.17 7.215661327
0.1753846154 7.448148492
0.1807692308 7.680635658
0.1861538462 7.913122823
0.1915384615 8.145609989
0.1969230769 8.378097154
0.2023076923 8.61058432
0.2076923077 8.843071485
0.2130769231 9.075558651
0.2184615385 9.308045816
0.2238461538 9.540532982
0.2292307692 9.773020147
0.2346153846 10.00550731
0.24 10.23799448
