ge cayley continuous
3.42 -4.644070381 25.6649691
3.44 -4.613305359 26.20204058
3.46 -4.583449661 26.74999324
3.48 -4.554465704 27.30904626
3.5 -4.52631792 27.87942328
3.52 -4.498972625 28.46135246
3.54 -4.472397891 29.05506657
3.56 -4.446563441 29.66080311
3.58 -4.421440536 30.27880437
3.6 -4.397001886 30.90931758
3.62 -4.373221555 31.55259493
3.64 -4.350074882 32.20889376
3.66 -4.327538401 32.87847659
3.68 -4.305589772 33.56161127
3.7 -4.284207714 34.25857104
3.72 -4.263371944 34.96963472
3.74 -4.243063117 35.69508673
3.76 -4.223262776 36.43521726
3.78 -4.203953299 37.19032238
3.8 -4.185117853 37.96070414
3.82 -4.166740355 38.7466707
3.84 -4.148805422 39.54853646
3.86 -4.131298344 40.36662217
3.88 -4.114205039 41.20125508
3.9 -4.097512026 42.05276906
3.92 -4.081206391 42.92150472
3.94 -4.065275755 43.80780957
3.96 -4.049708253 44.71203814
3.98 -4.034492504 45.63455213
4 -4.019617586 46.57572057
4.02 -4.005073015 47.53591992
4.04 -3.990848723 48.5155343
4.06 -3.976935037 49.51495554
4.08 -3.963322661 50.53458345
4.1 -3.950002657 51.57482587
4.12 -3.93696643 52.63609893
4.14 -3.92420571 53.71882713
4.16 -3.911712535 54.8234436
4.18 -3.899479241 55.9503902
4.2 -3.887498448 57.1001177
4.22 -3.875763043 58.27308603
4.24 -3.864266173 59.46976439
4.26 -3.853001228 60.69063145
4.28 -3.841961836 61.93617559
4.3 -3.831141851 63.20689504
4.32 -3.820535339 64.50329811
4.34 -3.810136574 65.82590336
4.36 -3.799940027 67.17523987
4.38 -3.789940358 68.55184739
4.4 -3.780132408 69.95627657
4.42 -3.770511192 71.38908921
4.44 -3.761071889 72.85085844
4.46 -3.751809841 74.34216901
4.48 -3.742720541 75.86361745
4.5 -3.733799628 77.41581236
4.52 -3.725042884 78.99937464
4.54 -3.716446225 80.61493774
4.56 -3.708005699 82.2631479
4.58 -3.699717477 83.94466443
4.6 -3.69157785 85.66015996
4.62 -3.683583226 87.41032071
4.64 -3.675730124 89.19584676
4.66 -3.668015169 91.01745236
4.68 -3.66043509 92.87586616
4.7 -3.652986713 94.77183156
4.72 -3.645666962 96.70610698
4.74 -3.638472852 98.67946613
4.76 -3.631401485 100.6926984
4.78 -3.62445005 102.7466091
4.8 -3.617615818 104.8420198
4.82 -3.610896138 106.9797688
4.84 -3.604288438 109.1607111
4.86 -3.597790217 111.3857192
4.88 -3.591399047 113.655683
4.9 -3.585112568 115.9715106
4.92 -3.578928486 118.3341285
4.94 -3.572844572 120.7444815
4.96 -3.566858659 123.203534
4.98 -3.560968637 125.7122695
5 -3.555172457 128.2716916
5.02 -3.549468125 130.8828242
5.04 -3.5438537 133.5467116
5.06 -3.538327294 136.2644195
5.08 -3.532887068 139.037035
5.1 -3.527531235 141.8656672
5.12 -3.522258053 144.7514475
5.14 -3.517065824 147.6955304
5.16 -3.511952898 150.6990935
5.18 -3.506917665 153.7633382
5.2 -3.501958558 156.8894903
5.22 -3.497074049 160.0788003
5.24 -3.492262651 163.332544
5.26 -3.487522911 166.6520229
5.28 -3.482853416 170.0385649
5.3 -3.478252788 173.4935245
5.32 -3.47371968 177.0182839
5.34 -3.469252784 180.614253
5.36 -3.464850818 184.2828702
5.38 -3.460512537 188.025603
5.4 -3.456236722 191.8439486
5.42 -3.452022185 195.7394344
5.44 -3.447867769 199.7136185
5.46 -3.44377234 203.7680907
5.48 -3.439734795 207.904473
5.5 -3.435754056 212.1244197
5.52 -3.431829069 216.4296192
5.54 -3.427958807 220.8217933
5.56 -3.424142265 225.3026991
5.58 -3.420378462 229.8741291
5.6 -3.41666644 234.5379117
5.62 -3.413005264 239.2959127
5.64 -3.409394017 244.1500352
5.66 -3.405831806 249.102221
5.68 -3.402317757 254.154451
5.7 -3.398851016 259.3087462
5.72 -3.395430747 264.5671684
5.74 -3.392056136 269.931821
5.76 -3.388726382 275.40485
5.78 -3.385440705 280.9884445
5.8 -3.382198342 286.6848382
5.82 -3.378998546 292.4963097
5.84 -3.375840585 298.4251836
5.86 -3.372723746 304.4738316
5.88 -3.369647328 310.6446731
5.9 -3.366610648 316.9401767
5.92 -3.363613035 323.3628607
5.94 -3.360653833 329.915294
5.96 -3.357732401 336.6000979
5.98 -3.35484811 343.4199464
6 -3.352000346 350.3775674
